Fecha,Heroes,Enemigos,Resultado,Rondas,DanyoTotal,MVP
24/04/2026 21:07,Darius,Locusta - Heraldodeljuicio,Victoria,14,250,Darius
25/04/2026 14:35,Kled,Querubnmenor - Guerreroungido,Derrota,7,120,Kled
